NP Entry ID,Study ID,Title,NP without modification,Surface modification,SizeDLS,Zeta potential,Incubation protein source,Incubation plasma concentration,Incubation NP concentration,Centrifugation speed,Centrifugation time,Certrifugation temperature,NP type,NP shape,Dispersion medium,PDI,Incubation culture,Incubation time,Incubation temperature,Centrifugation repetitions,ALB,C3,APOA2
A252,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,44.43,-6.728333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.183888889,buffer,1,37,1,0,2.1602,4.6423
A253,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,F127,46.63,-6.633333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.1965,buffer,1,37,1,0,2.0983,2.0072
A254,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,29.68,-6.628333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.151777778,buffer,1,37,1,0,2.593,0
A255,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CALNN,38.8,-6.536666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.154083333,buffer,1,37,1,0,1.2106,0
A256,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,48.4,-6.523333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.308,buffer,1,37,1,0,2.2823,6.4487
A257,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,93.52,-6.52,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,0.0545,buffer,1,37,1,0,1.214,5.6567
A258,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PAH-SH,68.07,-6.483333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.310111111,buffer,1,37,1,0,1.3832,2.5472
A259,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,47.34,-6.373333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.237111111,buffer,1,37,1,0,1.2259,2.4439
A260,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.93,-6.096666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.366916667,buffer,1,37,1,0,3.0525,7.1782
A261,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,SA,46.53,-6.091666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.214166667,buffer,1,37,1,0,2.502,1.9206
A262,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PVA,53.12,-6.063333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.178083333,buffer,1,37,1,0,1.4191,0
A263,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,52.02,-5.993333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.193666667,buffer,1,37,1,0,1.4926,1.4068
A264,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,38.69,-5.913333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.153555556,buffer,1,37,1,0,2.0386,1.3988
A265,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,100.13,-5.705,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.370166667,buffer,1,37,1,0,2.7791,4.1889
A266,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,55.39,-5.676666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.236222222,buffer,1,37,1,0,1.5611,4.0099
A267,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,72.3,-5.643333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.201277778,buffer,1,37,1,0,0.5816,0.9475
A268,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,61.43,-5.518333333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,0.225666667,buffer,1,37,1,0,1.7166,5.7874
A269,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,58.95,-5.455,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.345916667,buffer,1,37,1,0,0.9501,19.0351
A270,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,53.41,-5.43,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,0.085666667,buffer,1,37,1,0,1.831,3.9562
A271,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,44.75,-5.351666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.298666667,buffer,1,37,1,0,1.5522,9.5692
A272,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,41.88,-5.258333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.118444444,buffer,1,37,1,0,1.7607,5.8796
A273,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PVP,52.96,-5.238333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.216875,buffer,1,37,1,0,3.7425,0
A274,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,55.07,-5.140833333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,0.251833333,buffer,1,37,1,0,2.0328,2.963
A275,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,51.18,-5.0435,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.162888889,buffer,1,37,1,0,2.6572,0.5777
A276,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUEG4,226.51,-5.007083333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.438527778,buffer,1,37,1,0,25.4707,1.8148
A277,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,84.87,-4.4106,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,0.037888889,buffer,1,37,1,0,2.6755,2.6059
A278,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,47,-3.916833333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,0.178333333,buffer,1,37,1,0,1.3071,9.9871
A279,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,64.65,-3.891333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.252333333,buffer,1,37,1,0,1.853,0
A280,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,47.07,-3.772566667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.124555556,buffer,1,37,1,0,1.4249,0
A281,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,100.88,-3.580333333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,0.083916667,buffer,1,37,1,0,1.1576,0.7158
A282,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,48.76,-2.935,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.133888889,buffer,1,37,1,0,2.6648,0
A283,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,33.05,-2.753333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.158222222,buffer,1,37,1,0,3.1431,0
A284,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,110.75,-2.232166667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,0.077777778,buffer,1,37,1,0,3.5379,3.0138
A285,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,98.21,-2.015,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,0.044222222,buffer,1,37,1,0,3.0549,3.9235
A286,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,34.77,-1.730833333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,0.134666667,buffer,1,37,1,0,1.2703,0
A287,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,127.22,-0.61,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,0.027666667,buffer,1,37,1,0,5.8736,3.9757
A288,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,AUT,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.0526,1.9528
A289,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,CIT,38.4,-13.5,HS,100,154800.795,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.4331,1.2593
A290,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PEG,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,3.4736,3.766
A291,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,DDT,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.2811,3.0164
A292,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,HDA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.0363,2.3329
A293,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,LA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.4185,1.9139
A294,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MAA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.0942,2.6099
A295,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MBA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,0.8788,1.5178
A296,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MES,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,0.822,1.6061
A297,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MHDA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,0.5746,0.738
A298,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PEG,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,3.3734,3.7549
A299,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MUTA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.1703,2.4769
A300,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PEG,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,2.3844,3.5034
A301,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,amino acid,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,0.6242,0.9651
A302,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PVA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,0.906,2.3796
A303,A30,Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,SA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,0.126944444,buffer,1,37,1,0,1.5258,6.9213
A304,A31,Protein corona significantly reduces active targeting yield,SiO2,BCN,383,-16.6,FBS,9,200,10000,30,25,other,sphere,plasma,0.28,buffer,1,37,1,0.41,0,16.27
A305,A31,Protein corona significantly reduces active targeting yield,SiO2,BCN,154,-18.9,FBS,9,200,10000,30,25,other,sphere,PBS,0.19,buffer,1,37,1,0.41,0,16.27
A306,A31,Protein corona significantly reduces active targeting yield,SiO2,BCN,154,-18.9,FBS,90,200,10000,30,25,other,sphere,PBS,0.19,buffer,1,37,1,1.12,0,10.19
A307,A31,Protein corona significantly reduces active targeting yield,SiO2,BCN,634,-7.9,FBS,90,200,10000,30,25,other,sphere,plasma,0.34,buffer,1,37,1,1.12,0,10.19
A308,A32,Protein source and choice of anticoagulant decisively affect nanoparticle protein corona and cellular uptake,PS,NH2,116,42.8,HP,76.92,100,20000,60,25,other,sphere,water,0.126944444,water,1,37,1,58.15,0.9,0
A309,A32,Protein source and choice of anticoagulant decisively affect nanoparticle protein corona and cellular uptake,PS,NH2,116,42.8,HP,76.92,100,20000,60,25,other,sphere,water,0.126944444,water,1,37,1,53.19,0.5,0
A310,A32,Protein source and choice of anticoagulant decisively affect nanoparticle protein corona and cellular uptake,PS,NH2,116,42.8,HP,76.92,100,20000,60,25,other,sphere,water,0.126944444,water,1,37,1,46.68,0.63,0
A311,A32,Protein source and choice of anticoagulant decisively affect nanoparticle protein corona and cellular uptake,PS,NH2,116,42.8,HP,76.92,100,20000,60,25,other,sphere,water,0.126944444,water,1,37,1,58.88,0.5,0
A312,A32,Protein source and choice of anticoagulant decisively affect nanoparticle protein corona and cellular uptake,PS,NH2,116,42.8,HP,76.92,100,20000,60,25,other,sphere,water,0.126944444,water,1,37,1,39.35,0.05,0
A313,A32,Protein source and choice of anticoagulant decisively affect nanoparticle protein corona and cellular uptake,PS,NH2,116,42.8,HP,76.92,100,20000,60,25,other,sphere,water,0.126944444,water,1,37,1,45.04,0.55,0
A314,A32,Proteomics analysis reveals distinct corona composition on magnetic nanoparticles with different surface coatings: Implications for interactions with primary human macrophages,Fe3O4,SiO2,391.7,-11.24,HP,100,1000,3500,15,4,metal,sphere,cell culture,0.126944444,water,1,37,1,8.877629128,2.095044203,2.180470763
A315,A33,Proteomics analysis reveals distinct corona composition on magnetic nanoparticles with different surface coatings: Implications for interactions with primary human macrophages,Fe3O4,SiO2,124.8,-19.92,HP,100,1000,3500,15,4,metal,sphere,cell culture,0.126944444,water,1,37,1,8.877629128,2.095044203,2.180470763
A316,A34,A proteomics-based methodology to investigate the protein corona effect for targeted drug delivery,DOTAP/DOPC/DC-Chol/DOPE/DOPE-PEG2k,PEG,60,58.4,HP,50,500,84000,30,4,liposome,sphere,buffer,0.126944444,water,1,37,1,2.46,5.21,1.47
A317,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,0.5,37,1,20.87,0.6,0.76
A318,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,2,37,1,18.78,0.44,0.86
A319,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,5,37,1,23.06,0.79,1.1
A320,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,15,37,1,14.54,2.42,0.89
A321,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,30,37,1,18.98,1.47,1.42
A322,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,60,37,1,20.84,1.58,0.78
A323,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,117,51,HP,90,600,15300,20,4,other,sphere,buffer,0.011,buffer,120,37,1,17.26,1.34,0.68
A324,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,0.5,37,1,2.33,2.12,1.04
A325,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,2,37,1,2.36,2.07,1.38
A326,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,5,37,1,2.37,2.15,1.28
A327,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,15,37,1,2.37,1.98,1.22
A328,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,30,37,1,2.37,2.04,1.28
A329,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,60,37,1,1.76,2.39,1.45
A330,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,31,-10,HP,90,60,15300,20,4,other,sphere,buffer,0.104,buffer,120,37,1,1.49,2.37,1.32
A331,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,0.5,37,1,13.21,1.85,1.57
A332,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,0.5,37,1,2.92,2.24,0.63
A333,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,2,37,1,8,1.38,8.64
A334,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,2,37,1,2.97,2.23,0.55
A335,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,5,37,1,8.17,1.15,9.25
A336,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,5,37,1,2.8,2.36,0.67
A337,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,15,37,1,10.63,0.95,8.51
A338,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,15,37,1,2.75,2.13,0.69
A339,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,0.5,37,1,8.09,1.4,0.25
A340,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,0.5,37,1,2.52,2.02,0.86
A341,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,1,37,1,6.68,1.42,8.46
A342,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,1,37,1,2.64,2.36,1.07
A343,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,48,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.004,buffer,2,37,1,8.57,0.57,10.24
A344,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,69,-14,HP,90,60,15300,20,4,other,sphere,plasma,0.068,buffer,2,37,1,2.62,2.15,1.18
A345,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,0.5,37,1,2.3,2.51,0.99
A346,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,2,37,1,2.04,2.43,1.84
A347,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,5,37,1,2.22,2.02,2.31
A348,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,15,37,1,2.31,2,2.55
A349,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,0.5,37,1,2.59,1.84,2.26
A350,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,1,37,1,2.7,1.81,2.19
A351,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,33,-15,HP,90,60,15300,20,4,other,sphere,buffer,0.045,buffer,2,37,1,2.7,1.46,2.6
A352,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,0.5,37,1,2.92,2.24,0.63
A353,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,0.5,37,1,1.91,2.12,1.55
A354,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,0.5,37,1,20.87,0.6,0.76
A355,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,2,37,1,2.97,2.23,0.55
A356,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,2,37,1,2.02,2.09,1.51
A357,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,2,37,1,18.78,0.44,0.86
A358,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,5,37,1,2.8,2.36,0.67
A359,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,5,37,1,1.79,1.78,1.89
A360,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,5,37,1,23.06,0.79,1.1
A361,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,15,37,1,2.75,2.13,0.69
A362,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,15,37,1,1.72,2.31,1.59
A363,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,15,37,1,14.54,2.42,0.89
A364,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,30,37,1,2.52,2.02,0.86
A365,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,30,37,1,1.6,2.06,1.22
A366,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,30,37,1,18.98,1.47,1.42
A367,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,1,37,1,2.64,2.36,1.07
A368,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,1,37,1,2.04,1.01,1.42
A369,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,1,37,1,20.84,1.58,0.78
A370,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,COOH,28,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.063,buffer,2,37,1,2.62,2.15,1.18
A371,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,NH2,148,-18,HP,90,60,15300,20,4,other,sphere,buffer,0.004,buffer,2,37,1,2.16,1.29,1.79
A372,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,156,-18,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,2,37,1,17.26,1.34,0.68
A373,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,0.5,37,1,1.4,2,1.93
A374,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,2,37,1,1.77,2.68,1.25
A375,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,5,37,1,2.06,2.69,0.71
A376,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,15,37,1,1.9,1.68,1.55
A377,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,30,37,1,1.41,1.31,1.09
A378,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,60,37,1,2.11,1.22,1.76
A379,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,SiO2,N/A,141,-21,HP,90,60,15300,20,4,other,sphere,buffer,0.002,buffer,120,37,1,1.83,1.19,2.14
A380,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,126,-24,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,0.5,37,1,9.54,3.36,0.47
A381,A35,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,PS,N/A,126,-24,HP,90,600,15300,20,4,other,sphere,plasma,0.011,buffer,2,37,1,14.23,2,0.35
