Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2016,Gold,Nanotubes,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Release,Icpms,Plasma,Albumin
2016,Lipoplexes,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Dendritic cells,Targeting,Fluorescence,Serum,Others
2017,Micelles,Nanorods,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Fluorescence,Serum,Albumin
2019,Micelles,Others,Coated,Unknown,Pegylated,Phagocytosis,Unknown,Dendritic cells,Release,Fluorescence,Serum,Albumin
2021,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Fluorescence,Serum,Others
2023,Carbon,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Anticancer,Spectrum,Plasma,Albumin
2016,Colloids,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Stability,Fluorescence,Medium,Albumin
2018,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Proteomics,Plasma,Albumin
2019,Carbon,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Inflammation,Release,Spectrum,Serum,Albumin
2021,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Anticancer,Fluorescence,Serum,Albumin
2014,Micelles,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Fluorescence,Medium,Others
2018,Micelles,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Stability,Sdspage,Serum,Albumin
2022,Lipoplexes,Nanotubes,Coated,Positive charge,Pegylated,Unknown,Unknown,Complement,Antipeg,Sdspage,Plasma,Lipoprotein
2013,Silicon,Amorphous,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Immune response,Stability,Spectrum,Serum,Albumin
2015,Lipoplexes,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Macrophages,Targeting,Microscope,Plasma,Transferrin
2017,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Proteomics,Plasma,Lipoprotein
2021,Silicon,Others,Unknown,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Serum,Others
2021,Lipoplexes,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Medium,Others
2013,Silicon,Spherical,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Medium,Albumin
2015,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Inflammation,Targeting,Sdspage,Plasma,Lipoprotein
2016,Carbon,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Inflammation,Enzymes,Sdspage,Serum,Albumin
2022,Lipoplexes,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Immune response,Biodistribution,Fluorescence,Plasma,Fibrinogen
2022,Lipoplexes,Amorphous,Coated,Neutral,Pegylated,Unknown,Cytotoxicity,Macrophages,Targeting,Spectrum,Serum,Lipoprotein
2024,Micelles,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Serum,Albumin
2016,Lipoplexes,Nanorods,Coated,Unknown,Pegylated,Endocytosis,Cytotoxicity,Others,Targeting,Spectrum,Serum,Albumin
2015,Oxidative,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Macrophages,Biodistribution,Sdspage,Plasma,Transferrin
2016,Micelles,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Sdspage,Serum,Lipoprotein
2018,Others,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Targeting,Spectrum,Medium,Fibrinogen
2019,Quantum,Nanorods,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Stability,Sdspage,Serum,Albumin
2019,Oxidative,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Sdspage,Plasma,Albumin
2020,Magnetic,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Sdspage,Plasma,Fibrinogen
