Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2019,Lipoplexes,Others,Unknown,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Serum,Lipoprotein
2019,Micelles,Spherical,Unknown,Positive charge,Pegylated,Unknown,Unknown,Macrophages,Targeting,Sdspage,Plasma,Lipoprotein
2019,Oxidative,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Biodistribution,Microscope,Medium,Others
2019,Polystyrene,Spherical,Uncoated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Plasma,Lipoprotein
2019,Others,Others,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Complement,Targeting,Proteomics,Plasma,Albumin
2020,Others,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Microscope,Serum,Albumin
2020,Colloids,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Stability,Microscope,Serum,Albumin
2020,Lipoplexes,Others,Unknown,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Anticancer,Proteomics,Plasma,Albumin
2020,Polystyrene,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Biodistribution,Others,Plasma,Lipoprotein
2020,Micelles,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Microscope,Serum,Albumin
2020,Silicon,Amorphous,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Anticancer,Microscope,Serum,Lipoprotein
2021,Others,Nanosheets,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Enzymes,Microscope,Plasma,Lipoprotein
2021,Micelles,Spherical,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Stability,Microscope,Plasma,Others
2021,Lipoplexes,Spherical,Unknown,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Plasma,Albumin
2021,Gold,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Microscope,Plasma,Lipoprotein
2021,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Hemotoxicity,Immune response,Biodistribution,Sdspage,Serum,Lipoprotein
2021,Micelles,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Microscope,Medium,Others
2021,Micelles,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Targeting,Spectrum,Serum,Fibrinogen
2022,Colloids,Nanosheets,Coated,Positive charge,Pegylated,Unknown,Hemotoxicity,Macrophages,Stability,Fluorescence,Serum,Albumin
2022,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Targeting,Others,Medium,Others
2022,Lipoplexes,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Biodistribution,Spectrum,Serum,Lipoprotein
2022,Others,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Targeting,Proteomics,Plasma,Albumin
2022,Peptide,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Targeting,Microscope,Serum,Others
2022,Gold,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Therapy,Spectrum,Serum,Albumin
2023,Others,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Dendritic cells,Targeting,Spectrum,Plasma,Transferrin
2023,Lipoplexes,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Microscope,Serum,Albumin
2023,Lipoplexes,Spherical,Unknown,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Proteomics,Serum,Albumin
2023,Polystyrene,Amorphous,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Proteomics,Serum,Others
2023,Micelles,Nanorods,Coated,Positive charge,Pegylated,Exocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Serum,Albumin
2024,Lipoplexes,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Serum,Lipoprotein
2024,Nanovesicles,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Plasma,Albumin
2007,Micelles,Others,Unknown,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Release,Spectrum,Serum,Albumin
2007,Peptide,Spherical,Unknown,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Sdspage,Serum,Others
2010,Lipoplexes,Spherical,Unknown,Unknown,Pegylated,Unknown,Unknown,Others,Enzymes,Others,Others,Others
2011,Micelles,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Spectrum,Medium,Others
2012,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Fluorescence,Serum,Others
2013,Quantum,Nanotubes,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Fluorescence,Medium,Lipoprotein
2013,Micelles,Others,Coated,Positive charge,Pegylated,Macropinocytosis,Cytotoxicity,Dendritic cells,Biodistribution,Fluorescence,Medium,Others
2013,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Immune response,Release,Microscope,Medium,Others
2014,Magnetic,Others,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Release,Sdspage,Medium,Others
2014,Gold,Nanorods,Coated,Positive charge,Pegylated,Unknown,Unknown,Macrophages,Biodistribution,Fluorescence,Serum,Albumin
2014,Polystyrene,Nanorods,Unknown,Negative charge,Pegylated,Phagocytosis,Unknown,Macrophages,Targeting,Fluorescence,Serum,Albumin
2014,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Medium,Others
2014,Micelles,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Others,Release,Microscope,Medium,Others
2014,Carbon,Nanosheets,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Antibacterial,Spectrum,Plasma,Albumin
2014,Lipoplexes,Nanorods,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Serum,Transferrin
2014,Micelles,Spherical,Unknown,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Release,Spectrum,Medium,Others
2015,Agglomerates,Others,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Enzymes,Sdspage,Serum,Lipoprotein
2015,Others,Spherical,Coated,Unknown,Pegylated,Phagocytosis,Cytotoxicity,Complement,Release,Spectrum,Plasma,Albumin
2015,Peptide,Nanosheets,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Release,Spectrum,Medium,Others
2015,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Serum,Albumin
2015,Micelles,Nanotubes,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Biodistribution,Fluorescence,Serum,Others
2015,Micelles,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Targeting,Spectrum,Plasma,Transferrin
2015,Others,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Lipoprotein
2015,Oxidative,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Dendritic cells,Stability,Spectrum,Medium,Others
2016,Micelles,Nanotubes,Unknown,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Biodistribution,Spectrum,Serum,Lipoprotein
2016,Agglomerates,Nanorods,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Spectrum,Serum,Albumin
2016,Peptide,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Others,Others,Plasma,Others
2016,Silver,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Proteomics,Plasma,Lipoprotein
2016,Gold,Nanorods,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Therapy,Fluorescence,Medium,Albumin
2016,Agglomerates,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Immune response,Targeting,Fluorescence,Serum,Albumin
2016,Others,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Targeting,Microscope,Plasma,Transferrin
2016,Lipoplexes,Spherical,Unknown,Unknown,Pegylated,Unknown,Unknown,Complement,Biodistribution,Spectrum,Serum,Lipoprotein
2016,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Microscope,Serum,Albumin
2016,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Release,Spectrum,Plasma,Others
2016,Peptide,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Sdspage,Serum,Lipoprotein
2016,Oxidative,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Anticancer,Microscope,Medium,Others
2016,Carbon,Amorphous,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Bovine,Fibrinogen
2017,Lipoplexes,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Targeting,Fluorescence,Serum,Others
2017,Magnetic,Others,Coated,Unknown,Pegylated,Unknown,Unknown,Macrophages,Others,Spectrum,Plasma,Albumin
2017,Gold,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Spectrum,Plasma,Fibrinogen
2017,Gold,Nanorods,Coated,Neutral,Pegylated,Phagocytosis,Cytotoxicity,Cytokines,Biodistribution,Microscope,Medium,Albumin
2017,Colloids,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Spectrum,Serum,Albumin
2017,Magnetic,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Sdspage,Serum,Others
2017,Others,Others,Unknown,Negative charge,Pegylated,Phagocytosis,Unknown,Dendritic cells,Targeting,Spectrum,Plasma,Albumin
2017,Silicon,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Targeting,Fluorescence,Others,Transferrin
2017,Gold,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Spectrum,Serum,Albumin
2018,Carbon,Nanosheets,Coated,Positive charge,Pegylated,Unknown,Hemotoxicity,Macrophages,Biodistribution,Spectrum,Plasma,Others
2018,Others,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Sdspage,Serum,Lipoprotein
2018,Carbon,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Serum,Albumin
2018,Others,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Others,Bovine,Albumin
2018,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Medium,Albumin
2018,Others,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Targeting,Microscope,Serum,Albumin
2018,Micelles,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Fluorescence,Medium,Others
2019,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Albumin
2019,Gold,Nanorods,Coated,Negative charge,Pegylated,Unknown,Unknown,Immune response,Release,Microscope,Serum,Fibrinogen
2019,Micelles,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Antibacterial,Spectrum,Serum,Fibrinogen
2019,Lipoplexes,Others,Coated,Positive charge,Pegylated,Endocytosis,Unknown,Others,Release,Microscope,Serum,Albumin
2019,Gold,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Serum,Albumin
2019,Silicon,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Stability,Fluorescence,Serum,Albumin
2019,Lipoplexes,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Others,Therapy,Fluorescence,Serum,Lipoprotein
2020,Others,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Medium,Albumin
2020,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Release,Fluorescence,Serum,Albumin
2020,Magnetic,Spherical,Coated,Negative charge,Pegylated,Unknown,Hemotoxicity,Complement,Anticancer,Proteomics,Plasma,Albumin
2020,Gold,Nanorods,Coated,Positive charge,Pegylated,Unknown,Unknown,Immune response,Therapy,Spectrum,Serum,Albumin
2020,Lipoplexes,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Inflammation,Anticancer,Proteomics,Plasma,Others
2020,Others,Nanosheets,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Fluorescence,Medium,Transferrin
2020,Others,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Albumin
2020,Gold,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Spectrum,Medium,Albumin
2020,Lipoplexes,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Cytokines,Biodistribution,Microscope,Plasma,Lipoprotein
2020,Lipoplexes,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Dendritic cells,Biodistribution,Fluorescence,Serum,Albumin
2021,Silver,Nanosheets,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Biodistribution,Fluorescence,Serum,Transferrin
2021,Micelles,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Fluorescence,Plasma,Albumin
2021,Lipoplexes,Nanostars,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Microscope,Serum,Albumin
2021,Micelles,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Plasma,Albumin
2021,Others,Nanorods,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Inflammation,Anticancer,Spectrum,Plasma,Fibrinogen
2021,Gold,Spherical,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Release,Uvvis,Plasma,Others
2021,Others,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Anticancer,Microscope,Serum,Albumin
2021,Micelles,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Plasma,Lipoprotein
2022,Magnetic,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Stability,Sdspage,Serum,Others
2022,Others,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Targeting,Microscope,Medium,Transferrin
2022,Oxidative,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Microscope,Medium,Others
2022,Oxidative,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Proteomics,Medium,Albumin
2022,Silicon,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2022,Others,Others,Uncoated,Positive charge,Pegylated,Unknown,Cytotoxicity,Immune response,Targeting,Proteomics,Bovine,Lipoprotein
2022,Magnetic,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Proteomics,Serum,Albumin
2022,Colloids,Nanorods,Unknown,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Microscope,Serum,Albumin
2022,Peptide,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Microscope,Plasma,Lipoprotein
2023,Others,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Serum,Albumin
2023,Peptide,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Targeting,Microscope,Serum,Transferrin
2023,Lipoplexes,Nanotubes,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Fluorescence,Serum,Lipoprotein
2023,Magnetic,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Fluorescence,Bovine,Albumin
2023,Others,Spherical,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Biodistribution,Others,Plasma,Others
2023,Oxidative,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Inflammation,Biodistribution,Proteomics,Plasma,Transferrin
2023,Silicon,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Medium,Lipoprotein
2023,Colloids,Amorphous,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Serum,Albumin
2023,Lipoplexes,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Release,Microscope,Serum,Albumin
2023,Silicon,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Proteomics,Serum,Albumin
2023,Micelles,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Anticancer,Fluorescence,Medium,Others
2023,Others,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Spectrum,Plasma,Transferrin
2024,Lipoplexes,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Serum,Others
2024,Micelles,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Serum,Transferrin
2024,Micelles,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Albumin
2024,Nanoplastics,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Stability,Spectrum,Bovine,Albumin
2011,Magnetic,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Complement,Biodistribution,Proteomics,Plasma,Albumin
2012,Micelles,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Microscope,Serum,Albumin
2012,Agglomerates,Nanorods,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Complement,Release,Spectrum,Serum,Albumin
2012,Others,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Microscope,Serum,Others
2012,Silicon,Amorphous,Coated,Negative charge,Pegylated,Phagocytosis,Hemotoxicity,Inflammation,Biodistribution,Microscope,Plasma,Albumin
2013,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Cytokines,Release,Fluorescence,Plasma,Fibrinogen
2013,Nanovesicles,Amorphous,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Serum,Albumin
2013,Others,Others,Unknown,Unknown,Pegylated,Unknown,Unknown,Others,Targeting,Fluorescence,Serum,Transferrin
2014,Others,Nanosheets,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Proteomics,Plasma,Lipoprotein
2014,Magnetic,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Serum,Lipoprotein
2014,Agglomerates,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Serum,Albumin
2014,Silicon,Nanotubes,Unknown,Positive charge,Pegylated,Unknown,Unknown,Others,Biodistribution,Spectrum,Serum,Albumin
2014,Micelles,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Fluorescence,Bovine,Albumin
2014,Micelles,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Release,Microscope,Others,Albumin
2014,Others,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Anticancer,Proteomics,Others,Others
2015,Agglomerates,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Stability,Spectrum,Medium,Others
2015,Others,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Serum,Fibrinogen
2015,Gold,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Others,Stability,Fluorescence,Serum,Transferrin
2015,Agglomerates,Nanorods,Uncoated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Plasma,Albumin
2015,Magnetic,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Others,Targeting,Microscope,Plasma,Others
2015,Others,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Immune response,Biodistribution,Sdspage,Plasma,Albumin
2015,Carbon,Nanotubes,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Enzymes,Fluorescence,Serum,Albumin
2016,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Macrophages,Biodistribution,Wavelength,Serum,Albumin
2016,Peptide,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Albumin
2016,Others,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Serum,Transferrin
2016,Lipoplexes,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Plasma,Lipoprotein
2016,Silicon,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Stability,Fluorescence,Serum,Albumin
2016,Others,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Medium,Others
2016,Polystyrene,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Proteomics,Plasma,Albumin
2016,Magnetic,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Antibacterial,Microscope,Medium,Others
2016,Surfactants,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Serum,Albumin
2016,Agglomerates,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Others,Anticancer,Microscope,Plasma,Others
2016,Micelles,Nanorods,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Stability,Spectrum,Bovine,Albumin
2016,Surfactants,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Biodistribution,Microscope,Serum,Albumin
2016,Nanovesicles,Spherical,Unknown,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Microscope,Medium,Others
2017,Gold,Others,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Plasma,Fibrinogen
2017,Others,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Dendritic cells,Targeting,Sdspage,Serum,Transferrin
2017,Polystyrene,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Unknown,Macrophages,Biodistribution,Microscope,Serum,Lipoprotein
2017,Gold,Nanorods,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Serum,Albumin
2017,Others,Others,Unknown,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Albumin
2018,Others,Nanosheets,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Serum,Albumin
2018,Silicon,Amorphous,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Targeting,Fluorescence,Serum,Others
2018,Lipoplexes,Others,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Release,Spectrum,Plasma,Albumin
2018,Gold,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Plasma,Others
2018,Gold,Nanorods,Coated,Negative charge,Pegylated,Unknown,Unknown,Cytokines,Biodistribution,Spectrum,Plasma,Albumin
2018,Colloids,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Biodistribution,Sdspage,Medium,Albumin
2018,Polystyrene,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Macrophages,Biodistribution,Microscope,Plasma,Lipoprotein
2018,Silicon,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2018,Others,Nanotubes,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Inflammation,Release,Spectrum,Bovine,Albumin
2018,Micelles,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Anticancer,Microscope,Plasma,Lipoprotein
2018,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Biodistribution,Spectrum,Medium,Albumin
2018,Others,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Complement,Biodistribution,Fluorescence,Plasma,Albumin
2018,Others,Nanorods,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Inflammation,Anticancer,Fluorescence,Serum,Lipoprotein
2019,Colloids,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Release,Fluorescence,Serum,Albumin
2019,Micelles,Nanosheets,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Plasma,Albumin
2019,Colloids,Spherical,Coated,Unknown,Pegylated,Unknown,Cytotoxicity,Others,Stability,Fluorescence,Serum,Albumin
2019,Micelles,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Proteomics,Serum,Lipoprotein
2019,Lipoplexes,Nanotubes,Unknown,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Sdspage,Serum,Lipoprotein
2019,Others,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Hemotoxicity,Immune response,Anticancer,Fluorescence,Serum,Albumin
2019,Oxidative,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Release,Fluorescence,Medium,Lipoprotein
2019,Carbon,Nanotubes,Unknown,Unknown,Pegylated,Unknown,Cytotoxicity,Macrophages,Stability,Fluorescence,Others,Fibrinogen
2019,Oxidative,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Release,Spectrum,Plasma,Others
2019,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Microscope,Plasma,Albumin
2019,Magnetic,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Microscope,Medium,Albumin
2019,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Antibacterial,Spectrum,Serum,Albumin
2019,Agglomerates,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Stability,Spectrum,Serum,Albumin
