NP
Alb
Apoa1
Pzp
Tf
Ces1c
Serpina3k
Apoa2
Hbb-b1
Serpina1b
Serpina1c
Hpx
Mug1
C3
Apoa4
Hba
Serpina3m
Kng1
Ighm
Gc
Hrg
Apoh
Plg
Cp
Serpinc1
Serpina3n
Ahsg
Ttr
Serpina6
F2
Ambp
Rbp4
Pon1
Apoe
Serpinf2
Hbb-b2
Itih4
Cfh
Fn1
Cfi
Ces1
Thbs1
Fetub
Cpn2
Inhca
Orm1
Gpx3
Gsn
Itih1
Azgp1
Apoc3
H2-Q10
Cfb
Lonp1
Itih2
Afm
Apoc1
Clu
Pf4
Lum
Ighg2b
Qsox1
Gpld1
Saa4
Apcs
Mbl2
Klkb1
Vtn
Serping1
Apob
C4bpa
B2m
C4b
Serpind1
Adipoq
Igkc
Orm2
Cfd
Agt
Cpn1
Il1rap
C5
Lifr
Selenop
Serpina1d
F12
Igkv6-17
Aida
Itih3
Cd5l
Jchain
F10
Hgfac
Igfals
Hp
Mbl1
Apom
Pglyrp2
Lcat
C1s1
Spp2
Apoc4
Egfr
Apod
Treml1
C8g
F13b
Tcn2
Vnn3
C8b
Igkv5-48
Serpinf1
Csf1r
C8a
Pltp
Iglc2
Crp
Cfp
Pi16
Cpb2
Amy2a5
C1qb
Serpina10
Gp5
C9
C1qc
Btd
Masp2
Ecm1
C1ra
Serpina7
C2
Ca2
C1qa
Timp3
Fbln1
Fcn1
Proz
Bche
Sod3
Clec3b
H2-Q8
F5
Apoc2
Ctsb
Cpq
Sell
Scgb1a1
Masp1
Lyz2
Pla2g7
Igkv12-41
Psmb2
Cir1
Tfrc
A2m
Efemp1
Postn
Pros1
Ces2e
Ctse
Amy1
Ak7
Proc
Mst1
Prdx2
Pkm
Gp1ba
Igkv9-120
F9
Gapdh
Fgg
Bpifa2
Cd44
Vcam1
Thbs4
Fga
Mif
Serpina3c
Glo1
Actr10
Cst3
Man1a1
Pnlip
Saa1
Ppia
Slpi
Ifnar2
Cela1
Hamp2
Col1a1
F7
Fap
Fabp1
Ctrb1
Pde5a
Aldoa
Habp2
Ncam1
Lap3
Psap
Ace
Pfn1
Ctss
Gstm1
Eef1a1
Ca3
Clec11a
Vwf
Ppic
Psma6
Man2b1
Blmh
Flt4
Cycs
Fabp3
Igfbp3
Psma4
Nfkbiz
Lbp
Enpp2
A1bg
Lcp1
F13a1
Gpx1
Pm20d1
Col3a1
Psmb1
Npy
H2-D1
Hspa8
Icam1
Sod1
Fgb
Psma7
Cela2a
Ptprg
Ldha
Mb
Mup3
Xdh
Cdh1
Tagln2
Vcl
Cd93
Igkv7-33
Il18bp
Umod
Pepd
Nfasc
Gnmt
Psma1
Icoslg
Tuba1b
Mdh1
Gstp1
Ckm
Ctla2a
Loxl1
Igf1
Srgn
Rnase4
Aldob
Cdh5
Tpi1
Tuba4a
Psmb4
Rgn
Grn
Try4
H2-K1
Mmp2
Tubb4b
Rundc3a
Tgfbi
Ca1
Minpp1
Slc4a1
Emc9
Adh1
Psmb8
Psma5
Mup2
Tubb5
Lamp2
Rap1b
Fermt3
Eno1
Ctbs
Lipc
Reg3b
Txn
Prdx1
Psma3
Pcyox1
Flna
Qrsl1
Pigr
Col1a2
Olfm1
Cfl1
Ass1
Slc25a3
Prg4
Tln1
Anpep
Ctsa
B4galt5
Prdx6
Fabp5
Sftpb
Psmb3
Lyve1
Ccl8
Hspa4
Eno3
Ighv1-84
Fbln5
Hexa
Tnc
Dnpep
Retnlg
Psmb9
Slc17a6
Apof
Ldhb
Idh1
Hsp90ab1
Selenbp1
Lypd4
Ywhae
Aldh1a1
Hspa5
H6pd
Psmb10
F11
Psma2
Tubb1
Serpine2
Abracl
Mug2
Plod1
Tgfb1
Me1
Ltf
Dpep2
C1qtnf3
Slc3a2
Lgals3bp
Mrc1
Serpina11
Igfbp2
B4galt1
Chit1
Got1
Ctsd
Cela3b
Ezr
Fah
Ctsz
Pgam1
Dsg2
Icam2
Sparcl1
Dpp4
Nme2
Cel
Pebp1
Ppp1r13b
Lrp1
Arhgdia
Sri
Pnp
B4galnt1
Plxdc2
Colec10
Gstm2
Blvrb
Hsp90b1
Clps
Ahcy
Dcn
Antxr2
Trap1
Cotl1
Akr1d1
Pygb
Igfbp4
Adgre5
Cstb
Erap1
Ighv1-61
Spint1
Adgrf5
Gpx4
Gp6
Psmb6
Mstn
C1rl
Eef2
Enpp5
Dkk3
Cpa1
Ces3a
Myl6
Angpt1
Fabp4
Calr
Napsa
Tkt
Cilp2
Hpd
Man2a2
Gsr
Col18a1
Sord
Akr1a1
Ube2n
Chia
Itga2b
Cps1
Obi1
Ckb
Fasn
